"src_street";"src_city";"src_province";"src_zip"
"177 THETIS AVE";"QUALICUM-BCH";"BRITISH COLUMBIAN";"V9K1R7"
"5812 MOLEDO PL";"BALDY HUGHES";"VDITISH COLUMBIA";"V2N6T1"
"34821 MCNAB AVE";"ABBOTSFORD";"BC";"V3G1H3"
"5226 50 ST";"LLOYDMINSTER";"AB";"T9V0M5"
"8926 BATHURST ST";"THORNHILL";"ON";"L4J8A7"
"2251 ESTEVAN AVE";"VICTORIA";"BC";"V8R2S2"
"1078 6 ST N";"LETHBRIDGE";"AB";"T1H1Y4"
"42 ALDBOROUGH AVE";"ST THOMAS";"ON";"N5R4T1"
"5434 56 AVENUE";"LACOMBE";"AB";"T4L1G1"
"66 COZY STREET";"WELLAND";"ON";"L3B4H1"
"23 EIGHTH STREET";"CHATHAM";"ON";"N7M4J4"
"209 NORTHUMBERLAND STREET";"FREDERICTON";"NB";"E3B3J4"
"16 CORNWALLIS STREET";"BRIDGEWATER";"NS";"B4V2C1"
"10 FIRST STREET S";"STONEY CREEK";"ON";"L8G1P6"
"608 FRANCIS STREET W";"THUNDER BAY";"ON";"P7E4C8"
"124 CH DE LA RIVIERE";"GRAND-MERE";"QC";"G9T5K5"
"2440 9 LINE W";"CARLETON PLACE";"ON";"K7C3P2"
"6025 CHIPPAWA PKY";"NIAGARA FALLS";"ON";"L2E6X8"
"31 OAKWOOD LANE";"BELLEVILLE";"ON";"K8N4Z5"
"121 RUE YVETTE";"CANTON TREMBLAY";"QC";"G7H5A8"
"10 KENSINGTON CRT";"BRIDGEWATER";"NS";"B4V3J5"
"3192 FOUR MILE LAKE RD";"NORTH BAY";"ON";"P1B8G4"
"84679 TAMARACK CRES";"ORILLIA";"ON";"L3V6H3"
"20 BELCHER ST";"COLLINGWOOD";"ON";"L9Y3Z1"
"42 CH BRICAULT";"FARNHAM";"QC";"J2N2P9"
"6 HUNTSMILL CRT";"KINGSTON";"ON";"K7L4V1"
"PO BOX 1525 SUCC PL DE LA CITE";"SHERBROOKE";"QC";"J1H5M4"
"PO BOX 5154 CSP LOUVICOURT";"VAL-D'OR";"QC";"J9P7C6"
"PO BOX 2000 SUCC ST-LAURENT";"SAINT-LAURENT";"QC";"H4Y1L1"
"PO BOX 9523 SUCC CENTRE VILLE";"MONTREAL";"QC";"H3C3P3"
"PO BOX 853 SUCC PL-DESJARDINS";"MONTREAL";"QC";"H5B1C1"
"PO BOX 328 SUCC H";"MONTREAL";"QC";"H3G2K8"
"PO BOX 1588 CSP PLACE DU PARC 2";"MONTREAL";"QC";"H2X4A7"
"PO BOX 299 CSP SAINTE-ROSE";"LAVAL";"QC";"H7L4T3"
"PO BOX 34012 CSP GALERIE LACHINE";"LACHINE";"QC";"H8S4H4"
"PO BOX 6074 SUCC SAINT-LUC";"SAINT-JEAN-SUR-RICHELIEU";"QC";"J2W2A1"
"PO BOX 311 CSP MAGOG";"MAGOG";"QC";"J1X3W9"
"PO BOX 35088 CSP STE-MADELEINE";"TROIS-RIVIERES";"QC";"G8T9T5"
"PO BOX 232 SUCC BUREAU-CHEF";"LA MALBAIE";"QC";"G5A1T7"
"PO BOX 71324 CSP LONDON LIFE";"MONTREAL";"QC";"H3A3S9"
"CP 28";"SONNINGDALE";"SK";"S0K4B0"
"CP 34";"WALDRON";"SK";"S0A4K0"
"CP 651";"HANTSPORT";"NS";"B0P1P0"
"CP 94";"PINE LAKE";"AB";"T0M1S0"
"CP 44";"ARMENA";"AB";"T0B0G0"
"CP 977";"BLACKFALDS";"AB";"T0M0J0"
"CP 716";"INVERNESS";"NS";"B0E1N0"
"CP 236";"RED WILLOW";"AB";"T0B3V0"
"CP 175";"PEERS";"AB";"T0E1W0"
"CP 1208";"MOUNT FOREST";"ON";"N0G2L0"
"CASE POSTALE 47";"SAINT-SIMEON-DE-BONAVENTURE";"QC";"G0C3A0"
"CASE POSTALE 611";"FRAMPTON";"QC";"G0R1M0"
"CASE POSTALE 75";"MANSEAU";"QC";"G0X1V0"
"CASE POSTALE 54";"CAP-SANTE";"QC";"G0A1L0"
"CASE POSTALE 352";"SAINT-CALIXTE";"QC";"J0K1Z0"
"CASE POSTALE 258";"DESCHAILLONS-SUR-SAINT-LAURENT";"QC";"G0S1G0"
"CASE POSTALE 46";"WOTTON";"QC";"J0A1N0"
"CASE POSTALE 530";"SAINT-LUC-DE-VINCENNES";"QC";"G0X3K0"
"CP 760 SUCC BUREAU-CHEF";"SHAWINIGAN";"QC";"G9N6W1"
"PO BOX 279 STN MAIN";"WINNIPEG";"MB";"R3C3J4"
"PO BOX 507 STN MAIN";"BRANTFORD";"ON";"N3T5P8"
"PO BOX 5500 STN MAIN";"PETERBOROUGH";"ON";"K9J8M3"
"PO BOX 1529 STN CENTRAL";"HALIFAX";"NS";"B3J2Y4"
"PO BOX 5980 STN B";"LONDON";"ON";"N6A6E7"
"PO BOX 1000 STN DEL CTR";"MAPLE RIDGE";"BC";"V2X7G4"
"PO BOX 6000 STN MAIN";"THOMPSON";"MB";"R8N2B6"
"CP 11772 SUCC CENTRE VILLE";"MONTREAL";"QC";"H3C0A2"
"PO BOX 9802 STN AGINCOURT";"SCARBOROUGH";"ON";"M1S5N5"
"PO BOX 1000 STN MAIN";"OAKVILLE";"ON";"L6J5C8"
"PO BOX 3028 STN MAIN";"WALLACEBURG";"ON";"N8A9E1"
"PO BOX 125 STN C";"KITCHENER";"ON";"N2G3X7"
"CP 11776 SUCC CENTRE VILLE";"MONTREAL";"QC";"H3C0A6"
"PO BOX 5315 STN LCD 1";"BURLINGTON";"ON";"L7R4V3"
"PO BOX 290 STN MAIN";"SASKATOON";"SK";"S7K3L4"
"PO BOX 9404 STN PROV GOVT";"VICTORIA";"BC";"A1B3X8"
"PO BOX 3368 STN LCD MALTON";"MISSISSAUGA";"ON";"G1T1P3"
"PO BOX 39052 RPO TOPSAIL RD";"ST. JOHN'S";"NL";"G4Z3A9"
"PO BOX 7057 STN SANDWICH";"WINDSOR";"ON";"G1S1V3"
"PO BOX 122 STN M";"CALGARY";"AB";"A1B3V6"
"PO BOX 3500 STN A";"PRINCE GEORGE";"BC";"G2J0B6"
"PO BOX 564 STN MAIN";"PICKERING";"ON";"G1E6B4"
"PO BOX 49020 RPO GARDEN CITY";"WINNIPEG";"MB";"B3J2Z4"
"PO BOX 1233 STN A";"SYDNEY";"NS";"E2L4K3"
"PO BOX 1609 STN MAIN";"STOUFFVILLE";"ON";"B3J3A5"
"PO BOX 19017 STN BRM B";"TORONTO";"ON";"C1N5L2"
"PO BOX 22005 RPO TWIN LAKES";"SARNIA";"ON";"G9X3P9"
"GD STN MAIN";"DELTA";"BC";"V4K3N4"
"GD SUCC BUREAU-CHEF";"CHIBOUGAMAU";"QC";"G8P2K4"
"GD STN MAIN";"NEW GLASGOW";"NS";"B2H5C9"
"GD STN MAIN";"YARMOUTH";"NS";"B5A4A4"
"GD STN WHITNEY PIER";"SYDNEY";"NS";"B1N3A9"
"GD STN MAIN";"BATHURST";"NB";"E2A3Y9"
"GD STN MAIN";"ROCKLAND";"ON";"K4K1K1"
"GD STN MAIN";"UPPER BLACKVILLE";"NB";"E9B2K2"
"GD STN K";"TORONTO";"ON";"M4P2E9"
"GD STN MAIN";"BROCKVILLE";"ON";"K6V5T6"
"GENERAL DELIVERY SUCC VAL-BELAIR";"QUEBEC";"QC";"G3J1Z1"
"GENERAL DELIVERY SUCC BUREAU-CHEF";"WINDSOR";"QC";"J1S2L6"
"GENERAL DELIVERY SUCC VICTORIA";"MONTREAL";"QC";"H3Z2V3"
"GENERAL DELIVERY SUCC BUREAU-CHEF";"PONT-ROUGE";"QC";"G3H3R5"
"GENERAL DELIVERY SUCC COTE-ST-LUC";"MONTREAL";"QC";"H4V1H7"
"GENERAL DELIVERY STN MAIN";"EASTERN PASSAGE";"NS";"B3G1M2"
"GENERAL DELIVERY SUCC DELORIMIER";"MONTREAL";"QC";"H2H2N5"
"GENERAL DELIVERY SUCC BUREAU-CHEF";"SAINT-BASILE-LE-GRAND";"QC";"J3N1L9"
"GENERAL DELIVERY STN WATERLOO";"WATERLOO";"ON";"N2J3Z5"
"GENERAL DELIVERY STN MAIN";"HARVEY STATION";"NB";"E6K2S6"
"GENERAL DELIVERY STN MAIN";"HINTON";"AB";"T7V1T9"
"GENERAL DELIVERY SUCC ROSEMONT";"MONTREAL";"QC";"H1X3B5"
"GENERAL DELIVERY STN MAIN";"NORTH BATTLEFORD";"SK";"S9A2X5"
"GENERAL DELIVERY STN CHATHAM";"MIRAMICHI";"NB";"E1N3A4"
"GENERAL DELIVERY STN MAIN";"STEPHENVILLE";"NL";"A2N2Y6"
"GENERAL DELIVERY SUCC BUREAU-CHEF";"LACHUTE";"QC";"J8H3X1"
"GENERAL DELIVERY STN MAIN";"RIPPLES";"NB";"E4B3X9"
"POSTE RESTANTE";"PUVIRNITUQ";"QC";"J0M1P0"
"POSTE RESTANTE";"ARISS";"ON";"N0B1B0"
"POSTE RESTANTE";"CHAPLEAU";"ON";"P0M1K0"
"POSTE RESTANTE";"SACHS HARBOUR";"NT";"X0E0Z0"
"POSTE RESTANTE";"GIROUXVILLE";"AB";"T0H1S0"
"POSTE RESTANTE";"LUND";"BC";"V0N2G0"
"POSTE RESTANTE";"VALHALLA CENTRE";"AB";"T0H3M0"
